epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1000.62,2.72955,3.33532,2.36985,0.26124,0.18737,0.18503,0.06768,2.96886,3.85198,2.56713,0.004799,0.004799,0.004799
67,1015.09,2.74859,3.31882,2.36814,0.23357,0.29127,0.20488,0.06797,2.9747,3.42661,2.63474,0.00476478,0.00476478,0.00476478
68,1029.53,2.71797,3.34022,2.36402,0.26487,0.24044,0.19123,0.05865,2.94874,3.42764,2.57772,0.00473057,0.00473057,0.00473057
69,1043.93,2.74439,3.34825,2.37004,0.18751,0.18791,0.14297,0.04695,3.03957,3.76059,2.55851,0.00469635,0.00469635,0.00469635
70,1058.3,2.70388,3.28319,2.33577,0.33084,0.1895,0.19217,0.06858,2.99607,3.45683,2.52019,0.00466213,0.00466213,0.00466213
71,1072.81,2.70121,3.26578,2.32598,0.2882,0.23533,0.19344,0.06083,3.08403,3.28866,2.66926,0.00462792,0.00462792,0.00462792
72,1087.26,2.7191,3.27052,2.33831,0.23356,0.28187,0.18539,0.05839,3.05814,3.60919,2.62447,0.0045937,0.0045937,0.0045937
73,1101.6,2.72683,3.24211,2.32974,0.2374,0.22629,0.17138,0.05583,3.04488,3.47289,2.58185,0.00455948,0.00455948,0.00455948
74,1116.2,2.71552,3.2823,2.34107,0.22233,0.26698,0.18441,0.05757,2.95825,3.29695,2.50187,0.00452526,0.00452526,0.00452526
75,1130.82,2.71649,3.24746,2.34617,0.27776,0.25231,0.18595,0.05508,3.04309,3.39978,2.65472,0.00449105,0.00449105,0.00449105
76,1145.22,2.68594,3.24836,2.32029,0.23411,0.2681,0.17407,0.05707,2.95108,3.482,2.54993,0.00445683,0.00445683,0.00445683
77,1159.58,2.70292,3.22758,2.31577,0.2253,0.25937,0.19504,0.06385,2.99301,3.28968,2.57674,0.00442261,0.00442261,0.00442261
78,1173.91,2.69046,3.22132,2.32455,0.23472,0.29857,0.20394,0.06321,2.93335,3.28386,2.53428,0.0043884,0.0043884,0.0043884
79,1188.95,2.68242,3.25918,2.31761,0.24808,0.25854,0.17485,0.05809,2.9193,3.32779,2.54593,0.00435418,0.00435418,0.00435418
80,1204.11,2.69671,3.27683,2.32886,0.24048,0.26939,0.18624,0.06116,3.0388,3.79172,2.62535,0.00431996,0.00431996,0.00431996
81,1219.24,2.71884,3.21437,2.324,0.19102,0.28042,0.16814,0.05013,3.01627,3.39181,2.61799,0.00428575,0.00428575,0.00428575
82,1233.9,2.66601,3.16521,2.29455,0.19325,0.33226,0.18591,0.05769,2.91971,3.30113,2.50978,0.00425153,0.00425153,0.00425153
83,1248.87,2.66668,3.19642,2.32276,0.25763,0.28686,0.19352,0.06721,2.90757,3.46512,2.52056,0.00421731,0.00421731,0.00421731
84,1264.18,2.69071,3.19957,2.29804,0.2418,0.21944,0.18989,0.06537,2.96082,3.57269,2.573,0.0041831,0.0041831,0.0041831
85,1279.51,2.6386,3.19344,2.28382,0.2417,0.27689,0.19366,0.07072,2.9315,3.22055,2.50064,0.00414888,0.00414888,0.00414888
86,1294.44,2.66225,3.16143,2.31149,0.22667,0.35017,0.22517,0.08129,2.87135,3.32641,2.49094,0.00411466,0.00411466,0.00411466
87,1309.68,2.65182,3.17545,2.30654,0.7979,0.16973,0.19804,0.05919,2.94119,3.41905,2.54312,0.00408045,0.00408045,0.00408045
88,1325.41,2.65745,3.15788,2.30629,0.29719,0.27427,0.19133,0.06415,2.92694,3.32637,2.54682,0.00404623,0.00404623,0.00404623
89,1340.67,2.64933,3.16557,2.30085,0.24279,0.28494,0.18856,0.06112,2.915,3.24857,2.52098,0.00401201,0.00401201,0.00401201
90,1355.98,2.65111,3.17903,2.30454,0.31088,0.27385,0.19362,0.06021,2.89786,3.3295,2.51253,0.0039778,0.0039778,0.0039778
91,1371.61,2.63433,3.12717,2.28662,0.24206,0.27915,0.18458,0.06403,2.87933,3.33599,2.49766,0.00394358,0.00394358,0.00394358
92,1387.29,2.66104,3.15049,2.30436,0.24267,0.29897,0.19892,0.06283,2.90194,3.64776,2.53208,0.00390936,0.00390936,0.00390936
93,1402.66,2.63868,3.12085,2.28921,0.26221,0.29209,0.21759,0.07361,2.8809,3.33154,2.49565,0.00387515,0.00387515,0.00387515
94,1417.45,2.63841,3.1003,2.28371,0.22276,0.30467,0.20094,0.07543,2.92105,3.21192,2.48748,0.00384093,0.00384093,0.00384093
95,1432.64,2.64414,3.18518,2.28998,0.27459,0.27358,0.19758,0.06748,2.89449,3.25482,2.54347,0.00380671,0.00380671,0.00380671
96,1448.1,2.64342,3.14567,2.27551,0.21734,0.30462,0.19885,0.06909,2.86128,3.79945,2.51032,0.0037725,0.0037725,0.0037725
97,1463.38,2.63322,3.10185,2.26572,0.23795,0.30348,0.19036,0.0645,2.89942,3.22794,2.50591,0.00373828,0.00373828,0.00373828
98,1479,2.63594,3.10693,2.26448,0.31539,0.26049,0.20085,0.06685,2.94807,3.31559,2.5249,0.00370406,0.00370406,0.00370406
99,1494.84,2.61427,3.09841,2.2841,0.23935,0.27303,0.21122,0.06915,2.98415,3.33163,2.57675,0.00366985,0.00366985,0.00366985
100,1510.51,2.6409,3.11262,2.2797,0.26286,0.32229,0.21889,0.07887,2.91858,3.38684,2.49109,0.00363563,0.00363563,0.00363563
101,1525.79,2.62038,3.10737,2.28684,0.33173,0.26902,0.21833,0.06486,2.97934,3.22264,2.59691,0.00360141,0.00360141,0.00360141
102,1541.09,2.64365,3.15207,2.28496,0.24128,0.30248,0.20647,0.06978,2.84106,3.18813,2.47355,0.0035672,0.0035672,0.0035672
103,1556.58,2.60872,3.08827,2.26474,0.31563,0.24144,0.18706,0.06385,2.89565,3.47297,2.48848,0.00353298,0.00353298,0.00353298
104,1571.98,2.59625,3.03009,2.23943,0.23987,0.30187,0.20056,0.06692,nan,nan,nan,0.00349876,0.00349876,0.00349876
105,1587.37,2.61578,3.09281,2.258,0.26797,0.26057,0.20055,0.0625,2.88691,3.4083,2.53764,0.00346455,0.00346455,0.00346455
106,1602.77,2.59908,3.02401,2.25209,0.29566,0.28464,0.20427,0.07029,2.8268,3.17955,2.47026,0.00343033,0.00343033,0.00343033
107,1618.1,2.60008,3.06956,2.25246,0.25498,0.31522,0.21902,0.064,2.9156,3.219,2.53016,0.00339611,0.00339611,0.00339611
108,1633.41,2.60189,3.01807,2.24558,0.29146,0.29603,0.22865,0.07876,2.91033,3.19934,2.54001,0.0033619,0.0033619,0.0033619
109,1648.92,2.61017,3.07712,2.24348,0.30515,0.29636,0.22885,0.07635,2.95862,3.16813,2.566,0.00332768,0.00332768,0.00332768
110,1664.64,2.57866,3.01377,2.23799,0.36594,0.26768,0.24811,0.08677,2.85303,3.13533,2.40331,0.00329346,0.00329346,0.00329346
111,1680.33,2.57977,3.0049,2.21784,0.27908,0.29586,0.22456,0.07243,2.9123,3.12101,2.53185,0.00325925,0.00325925,0.00325925
112,1695.75,2.58426,3.04198,2.22532,0.28515,0.28298,0.21387,0.07728,2.93256,3.66806,2.56243,0.00322503,0.00322503,0.00322503
113,1711.11,2.5838,3.05628,2.24067,0.2769,0.2962,0.20879,0.06723,2.87291,3.20113,2.48341,0.00319081,0.00319081,0.00319081
114,1726.5,2.59578,3.01465,2.24909,0.30374,0.28278,0.23025,0.07909,2.90081,3.28889,2.50934,0.00315659,0.00315659,0.00315659
115,1741.96,2.59069,3.12983,2.27861,0.25746,0.28246,0.19551,0.06786,2.861,3.19277,2.52313,0.00312238,0.00312238,0.00312238
116,1757.25,2.58817,3.04906,2.25471,0.25631,0.28016,0.20207,0.06438,2.95125,3.22285,2.56419,0.00308816,0.00308816,0.00308816
117,1772.68,2.57318,3.00526,2.22996,0.25797,0.32003,0.2175,0.07363,2.90194,3.13794,2.48472,0.00305394,0.00305394,0.00305394
118,1788.05,2.5831,2.99155,2.2279,0.28629,0.28166,0.2201,0.07002,2.94478,3.09961,2.54605,0.00301973,0.00301973,0.00301973
119,1803.37,2.59804,3.0565,2.25364,0.00549,0.02434,0.00145,0.0005,nan,nan,nan,0.00298551,0.00298551,0.00298551
120,1819.17,2.59972,3.0197,2.24981,0.40481,0.2876,0.25519,0.0898,2.87224,3.16711,2.43265,0.00295129,0.00295129,0.00295129
121,1833.84,2.58422,3.02281,2.24143,0.28871,0.3157,0.25448,0.08701,2.86021,3.07732,2.4815,0.00291708,0.00291708,0.00291708
122,1848.19,2.54404,2.99031,2.2262,0.68198,0.23796,0.26612,0.09516,2.83268,3.21782,2.47355,0.00288286,0.00288286,0.00288286
123,1862.95,2.5699,2.95756,2.20814,0.29835,0.32195,0.24823,0.08748,2.86115,3.05648,2.48141,0.00284864,0.00284864,0.00284864
124,1877.61,2.59514,2.97338,2.23884,0.25183,0.3041,0.2169,0.06737,2.97594,3.47555,2.62254,0.00281443,0.00281443,0.00281443
125,1892.13,2.53229,2.9481,2.2132,0.25855,0.34107,0.24807,0.08833,2.86063,3.1486,2.45001,0.00278021,0.00278021,0.00278021
126,1906.55,2.56986,2.95704,2.23079,0.22485,0.34974,0.22779,0.07998,2.84077,3.199,2.4585,0.00274599,0.00274599,0.00274599
127,1921.2,2.55219,2.94351,2.19898,0.29429,0.33034,0.24925,0.08691,2.90289,3.06699,2.48395,0.00271178,0.00271178,0.00271178
